geo,geo_label,geo_eurostat,iso_a2,iso_a3,year,is_eu_aggregate,metric,value
DK,Denmark,DK,DK,DNK,2025,False,ai_three_or_more_technologies_pct,22.96
EE,Estonia,EE,EE,EST,2025,False,ai_three_or_more_technologies_pct,7.27
EL,Greece,EL,GR,GRC,2025,False,ai_three_or_more_technologies_pct,3.85
ES,Spain,ES,ES,ESP,2025,False,ai_three_or_more_technologies_pct,9.02
FI,Finland,FI,FI,FIN,2025,False,ai_three_or_more_technologies_pct,21.81
FR,France,FR,FR,FRA,2025,False,ai_three_or_more_technologies_pct,6.54
HR,Croatia,HR,HR,HRV,2025,False,ai_three_or_more_technologies_pct,6.87
HU,Hungary,HU,HU,HUN,2025,False,ai_three_or_more_technologies_pct,4.69
IE,Ireland,IE,IE,IRL,2025,False,ai_three_or_more_technologies_pct,6.47
IT,Italy,IT,IT,ITA,2025,False,ai_three_or_more_technologies_pct,6.46
LT,Lithuania,LT,LT,LTU,2025,False,ai_three_or_more_technologies_pct,8.84
LU,Luxembourg,LU,LU,LUX,2025,False,ai_three_or_more_technologies_pct,13.71
LV,Latvia,LV,LV,LVA,2025,False,ai_three_or_more_technologies_pct,5.66
MT,Malta,MT,MT,MLT,2025,False,ai_three_or_more_technologies_pct,7.69
NL,Netherlands,NL,NL,NLD,2025,False,ai_three_or_more_technologies_pct,14.83
PL,Poland,PL,PL,POL,2025,False,ai_three_or_more_technologies_pct,2.4
PT,Portugal,PT,PT,PRT,2025,False,ai_three_or_more_technologies_pct,5.2
RO,Romania,RO,RO,ROU,2025,False,ai_three_or_more_technologies_pct,3.31
SE,Sweden,SE,SE,SWE,2025,False,ai_three_or_more_technologies_pct,16.97
SI,Slovenia,SI,SI,SVN,2025,False,ai_three_or_more_technologies_pct,6.78
SK,Slovakia,SK,SK,SVK,2025,False,ai_three_or_more_technologies_pct,7.98
EU27_2020,European Union - 27 countries (from 2020),EU27_2020,,,2025,True,ai_three_or_more_technologies_pct,8.28
AT,Austria,AT,AT,AUT,2025,False,ai_two_or_more_technologies_pct,20.51
BE,Belgium,BE,BE,BEL,2025,False,ai_two_or_more_technologies_pct,22.87
BG,Bulgaria,BG,BG,BGR,2025,False,ai_two_or_more_technologies_pct,5.97
CY,Cyprus,CY,CY,CYP,2025,False,ai_two_or_more_technologies_pct,6.73
CZ,Czechia,CZ,CZ,CZE,2025,False,ai_two_or_more_technologies_pct,12.4
DE,Germany,DE,DE,DEU,2025,False,ai_two_or_more_technologies_pct,16.19
DK,Denmark,DK,DK,DNK,2025,False,ai_two_or_more_technologies_pct,32.48
EE,Estonia,EE,EE,EST,2025,False,ai_two_or_more_technologies_pct,12.86
EL,Greece,EL,GR,GRC,2025,False,ai_two_or_more_technologies_pct,5.73
ES,Spain,ES,ES,ESP,2025,False,ai_two_or_more_technologies_pct,13.64
FI,Finland,FI,FI,FIN,2025,False,ai_two_or_more_technologies_pct,30.16
FR,France,FR,FR,FRA,2025,False,ai_two_or_more_technologies_pct,10.7
HR,Croatia,HR,HR,HRV,2025,False,ai_two_or_more_technologies_pct,10.46
HU,Hungary,HU,HU,HUN,2025,False,ai_two_or_more_technologies_pct,7.03
IE,Ireland,IE,IE,IRL,2025,False,ai_two_or_more_technologies_pct,11.48
IT,Italy,IT,IT,ITA,2025,False,ai_two_or_more_technologies_pct,10.55
LT,Lithuania,LT,LT,LTU,2025,False,ai_two_or_more_technologies_pct,14.18
LU,Luxembourg,LU,LU,LUX,2025,False,ai_two_or_more_technologies_pct,22.17
LV,Latvia,LV,LV,LVA,2025,False,ai_two_or_more_technologies_pct,9.04
MT,Malta,MT,MT,MLT,2025,False,ai_two_or_more_technologies_pct,12.84
NL,Netherlands,NL,NL,NLD,2025,False,ai_two_or_more_technologies_pct,22.48
PL,Poland,PL,PL,POL,2025,False,ai_two_or_more_technologies_pct,4.28
PT,Portugal,PT,PT,PRT,2025,False,ai_two_or_more_technologies_pct,8.04
RO,Romania,RO,RO,ROU,2025,False,ai_two_or_more_technologies_pct,4.41
SE,Sweden,SE,SE,SWE,2025,False,ai_two_or_more_technologies_pct,25.02
SI,Slovenia,SI,SI,SVN,2025,False,ai_two_or_more_technologies_pct,12.46
SK,Slovakia,SK,SK,SVK,2025,False,ai_two_or_more_technologies_pct,12.33
EU27_2020,European Union - 27 countries (from 2020),EU27_2020,,,2025,True,ai_two_or_more_technologies_pct,12.95
AT,Austria,AT,AT,AUT,2025,False,ai_without_sophisticated_cloud_or_data_pct,6.82
BE,Belgium,BE,BE,BEL,2025,False,ai_without_sophisticated_cloud_or_data_pct,2.78
BG,Bulgaria,BG,BG,BGR,2025,False,ai_without_sophisticated_cloud_or_data_pct,1.53
CY,Cyprus,CY,CY,CYP,2025,False,ai_without_sophisticated_cloud_or_data_pct,0.72
CZ,Czechia,CZ,CZ,CZE,2025,False,ai_without_sophisticated_cloud_or_data_pct,0.95
DE,Germany,DE,DE,DEU,2025,False,ai_without_sophisticated_cloud_or_data_pct,3.33
DK,Denmark,DK,DK,DNK,2025,False,ai_without_sophisticated_cloud_or_data_pct,2.44
EE,Estonia,EE,EE,EST,2025,False,ai_without_sophisticated_cloud_or_data_pct,0.79
