geo,geo_label,time,year,indic_is,indicator_short_label,indic_is_label,indicator_category,unit,unit_label,value
EL,Greece,2025,2025,E_AI_BCST,Costs too high,"Enterprises do not use AI technologies, because the costs seem too high",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,6.68
EL,Greece,2025,2025,E_AI_BDDT,Problems with data availability or quality,"Enterprises do not use AI technologies, because of difficulties with availability or quality of the necessary data",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,4.59
EL,Greece,2025,2025,E_AI_BEC,Ethical considerations,"Enterprises do not use AI technologies, because of ethical considerations",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,3.73
EL,Greece,2025,2025,E_AI_BINC,Incompatibility with existing systems,"Enterprises do not use AI technologies, because of incompatibility with existing equipment, software or systems",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,5.36
EL,Greece,2025,2025,E_AI_BLE,Lack of relevant expertise,"Enterprises do not use AI technologies, because of a lack of relevant expertise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,7.6
EL,Greece,2025,2025,E_AI_BLEG,Legal uncertainty,"Enterprises do not use AI technologies, because of a lack of clarity about the legal consequences",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,5.33
EL,Greece,2025,2025,E_AI_BNU,AI not useful for the enterprise,"Enterprises do not use AI technologies, because artificial Intelligence technologies are not useful for Enterprise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,2.71
ES,Spain,2025,2025,E_AI_BCDP,Data protection and privacy concerns,"Enterprises do not use AI technologies, because of concerns regarding violation of data protection and privacy",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,7.53
ES,Spain,2025,2025,E_AI_BCST,Costs too high,"Enterprises do not use AI technologies, because the costs seem too high",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,6.63
ES,Spain,2025,2025,E_AI_BDDT,Problems with data availability or quality,"Enterprises do not use AI technologies, because of difficulties with availability or quality of the necessary data",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,6.73
