geo,geo_label,time,year,indic_is,indicator_short_label,indic_is_label,indicator_category,unit,unit_label,value
EL,Greece,2025,2025,E_AI_TML,Machine learning for data analysis,Enterprises using machine learning (e.g. deep learning) for data analysis,AI technology,PC_ENT,Percentage of enterprises,3.06
EL,Greece,2025,2025,E_AI_TNLG,Natural language generation / code generation,"Enterprises using AI technologies generating written or spoken language or programming codes (natural language generation, speech synthesis)",AI technology,PC_ENT,Percentage of enterprises,3.71
EL,Greece,2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,1.89
EL,Greece,2025,2025,E_AI_TPVSG,Generative pictures / video / sound,"Enterprises using AI technologies generating pictures, videos, sound/audio",AI technology,PC_ENT,Percentage of enterprises,4.02
EL,Greece,2025,2025,E_AI_TSR,Speech recognition,Enterprises using AI technologies converting spoken language into machine-readable format (speech recognition),AI technology,PC_ENT,Percentage of enterprises,3.22
EL,Greece,2025,2025,E_AI_TTM,Text mining,Enterprises using AI technologies performing analysis of written language (text mining),AI technology,PC_ENT,Percentage of enterprises,6.09
ES,Spain,2025,2025,E_AI_TAR,Autonomous robots / vehicles / drones,"Enterprises using AI technologies enabling physical movement of machines via autonomous decisions based on observation of surroundings (autonomous robots, self-driving vehicles, autonomous drones)",AI technology,PC_ENT,Percentage of enterprises,1.63
ES,Spain,2025,2025,E_AI_TIR,Image recognition / image processing,"Enterprises using AI technologies identifying objects or persons based on images (image recognition, image processing)",AI technology,PC_ENT,Percentage of enterprises,5.57
ES,Spain,2025,2025,E_AI_TML,Machine learning for data analysis,Enterprises using machine learning (e.g. deep learning) for data analysis,AI technology,PC_ENT,Percentage of enterprises,5.62
ES,Spain,2025,2025,E_AI_TNLG,Natural language generation / code generation,"Enterprises using AI technologies generating written or spoken language or programming codes (natural language generation, speech synthesis)",AI technology,PC_ENT,Percentage of enterprises,8.92
ES,Spain,2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,6.68
ES,Spain,2025,2025,E_AI_TPVSG,Generative pictures / video / sound,"Enterprises using AI technologies generating pictures, videos, sound/audio",AI technology,PC_ENT,Percentage of enterprises,11.38
ES,Spain,2025,2025,E_AI_TSR,Speech recognition,Enterprises using AI technologies converting spoken language into machine-readable format (speech recognition),AI technology,PC_ENT,Percentage of enterprises,7.2
ES,Spain,2025,2025,E_AI_TTM,Text mining,Enterprises using AI technologies performing analysis of written language (text mining),AI technology,PC_ENT,Percentage of enterprises,10.05
EU27_2020,European Union - 27 countries (from 2020),2025,2025,E_AI_TAR,Autonomous robots / vehicles / drones,"Enterprises using AI technologies enabling physical movement of machines via autonomous decisions based on observation of surroundings (autonomous robots, self-driving vehicles, autonomous drones)",AI technology,PC_ENT,Percentage of enterprises,1.39
EU27_2020,European Union - 27 countries (from 2020),2025,2025,E_AI_TIR,Image recognition / image processing,"Enterprises using AI technologies identifying objects or persons based on images (image recognition, image processing)",AI technology,PC_ENT,Percentage of enterprises,3.78
EU27_2020,European Union - 27 countries (from 2020),2025,2025,E_AI_TML,Machine learning for data analysis,Enterprises using machine learning (e.g. deep learning) for data analysis,AI technology,PC_ENT,Percentage of enterprises,5.1
EU27_2020,European Union - 27 countries (from 2020),2025,2025,E_AI_TNLG,Natural language generation / code generation,"Enterprises using AI technologies generating written or spoken language or programming codes (natural language generation, speech synthesis)",AI technology,PC_ENT,Percentage of enterprises,8.76
EU27_2020,European Union - 27 countries (from 2020),2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,5.35
EU27_2020,European Union - 27 countries (from 2020),2025,2025,E_AI_TPVSG,Generative pictures / video / sound,"Enterprises using AI technologies generating pictures, videos, sound/audio",AI technology,PC_ENT,Percentage of enterprises,9.55
EU27_2020,European Union - 27 countries (from 2020),2025,2025,E_AI_TSR,Speech recognition,Enterprises using AI technologies converting spoken language into machine-readable format (speech recognition),AI technology,PC_ENT,Percentage of enterprises,7.22
EU27_2020,European Union - 27 countries (from 2020),2025,2025,E_AI_TTM,Text mining,Enterprises using AI technologies performing analysis of written language (text mining),AI technology,PC_ENT,Percentage of enterprises,11.75
FI,Finland,2025,2025,E_AI_TAR,Autonomous robots / vehicles / drones,"Enterprises using AI technologies enabling physical movement of machines via autonomous decisions based on observation of surroundings (autonomous robots, self-driving vehicles, autonomous drones)",AI technology,PC_ENT,Percentage of enterprises,2.73
FI,Finland,2025,2025,E_AI_TIR,Image recognition / image processing,"Enterprises using AI technologies identifying objects or persons based on images (image recognition, image processing)",AI technology,PC_ENT,Percentage of enterprises,7.7
FI,Finland,2025,2025,E_AI_TML,Machine learning for data analysis,Enterprises using machine learning (e.g. deep learning) for data analysis,AI technology,PC_ENT,Percentage of enterprises,12.85
FI,Finland,2025,2025,E_AI_TNLG,Natural language generation / code generation,"Enterprises using AI technologies generating written or spoken language or programming codes (natural language generation, speech synthesis)",AI technology,PC_ENT,Percentage of enterprises,20.12
FI,Finland,2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,15.03
FI,Finland,2025,2025,E_AI_TPVSG,Generative pictures / video / sound,"Enterprises using AI technologies generating pictures, videos, sound/audio",AI technology,PC_ENT,Percentage of enterprises,21.55
FI,Finland,2025,2025,E_AI_TSR,Speech recognition,Enterprises using AI technologies converting spoken language into machine-readable format (speech recognition),AI technology,PC_ENT,Percentage of enterprises,14.8
FI,Finland,2025,2025,E_AI_TTM,Text mining,Enterprises using AI technologies performing analysis of written language (text mining),AI technology,PC_ENT,Percentage of enterprises,28.49
FR,France,2025,2025,E_AI_TAR,Autonomous robots / vehicles / drones,"Enterprises using AI technologies enabling physical movement of machines via autonomous decisions based on observation of surroundings (autonomous robots, self-driving vehicles, autonomous drones)",AI technology,PC_ENT,Percentage of enterprises,1.73
FR,France,2025,2025,E_AI_TIR,Image recognition / image processing,"Enterprises using AI technologies identifying objects or persons based on images (image recognition, image processing)",AI technology,PC_ENT,Percentage of enterprises,3.69
FR,France,2025,2025,E_AI_TML,Machine learning for data analysis,Enterprises using machine learning (e.g. deep learning) for data analysis,AI technology,PC_ENT,Percentage of enterprises,4.23
FR,France,2025,2025,E_AI_TNLG,Natural language generation / code generation,"Enterprises using AI technologies generating written or spoken language or programming codes (natural language generation, speech synthesis)",AI technology,PC_ENT,Percentage of enterprises,7.82
FR,France,2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,4.48
FR,France,2025,2025,E_AI_TPVSG,Generative pictures / video / sound,"Enterprises using AI technologies generating pictures, videos, sound/audio",AI technology,PC_ENT,Percentage of enterprises,7.5
FR,France,2025,2025,E_AI_TSR,Speech recognition,Enterprises using AI technologies converting spoken language into machine-readable format (speech recognition),AI technology,PC_ENT,Percentage of enterprises,6.14
FR,France,2025,2025,E_AI_TTM,Text mining,Enterprises using AI technologies performing analysis of written language (text mining),AI technology,PC_ENT,Percentage of enterprises,10.23
HR,Croatia,2025,2025,E_AI_TAR,Autonomous robots / vehicles / drones,"Enterprises using AI technologies enabling physical movement of machines via autonomous decisions based on observation of surroundings (autonomous robots, self-driving vehicles, autonomous drones)",AI technology,PC_ENT,Percentage of enterprises,0.72
HR,Croatia,2025,2025,E_AI_TIR,Image recognition / image processing,"Enterprises using AI technologies identifying objects or persons based on images (image recognition, image processing)",AI technology,PC_ENT,Percentage of enterprises,3.04
HR,Croatia,2025,2025,E_AI_TML,Machine learning for data analysis,Enterprises using machine learning (e.g. deep learning) for data analysis,AI technology,PC_ENT,Percentage of enterprises,4.97
HR,Croatia,2025,2025,E_AI_TNLG,Natural language generation / code generation,"Enterprises using AI technologies generating written or spoken language or programming codes (natural language generation, speech synthesis)",AI technology,PC_ENT,Percentage of enterprises,7.41
HR,Croatia,2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,2.91
HR,Croatia,2025,2025,E_AI_TPVSG,Generative pictures / video / sound,"Enterprises using AI technologies generating pictures, videos, sound/audio",AI technology,PC_ENT,Percentage of enterprises,7.04
HR,Croatia,2025,2025,E_AI_TSR,Speech recognition,Enterprises using AI technologies converting spoken language into machine-readable format (speech recognition),AI technology,PC_ENT,Percentage of enterprises,4.42
HR,Croatia,2025,2025,E_AI_TTM,Text mining,Enterprises using AI technologies performing analysis of written language (text mining),AI technology,PC_ENT,Percentage of enterprises,9.76
HU,Hungary,2025,2025,E_AI_TAR,Autonomous robots / vehicles / drones,"Enterprises using AI technologies enabling physical movement of machines via autonomous decisions based on observation of surroundings (autonomous robots, self-driving vehicles, autonomous drones)",AI technology,PC_ENT,Percentage of enterprises,0.87
HU,Hungary,2025,2025,E_AI_TIR,Image recognition / image processing,"Enterprises using AI technologies identifying objects or persons based on images (image recognition, image processing)",AI technology,PC_ENT,Percentage of enterprises,2.89
HU,Hungary,2025,2025,E_AI_TML,Machine learning for data analysis,Enterprises using machine learning (e.g. deep learning) for data analysis,AI technology,PC_ENT,Percentage of enterprises,2.31
HU,Hungary,2025,2025,E_AI_TNLG,Natural language generation / code generation,"Enterprises using AI technologies generating written or spoken language or programming codes (natural language generation, speech synthesis)",AI technology,PC_ENT,Percentage of enterprises,4.16
HU,Hungary,2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,3.91
HU,Hungary,2025,2025,E_AI_TPVSG,Generative pictures / video / sound,"Enterprises using AI technologies generating pictures, videos, sound/audio",AI technology,PC_ENT,Percentage of enterprises,4.65
HU,Hungary,2025,2025,E_AI_TSR,Speech recognition,Enterprises using AI technologies converting spoken language into machine-readable format (speech recognition),AI technology,PC_ENT,Percentage of enterprises,3.53
HU,Hungary,2025,2025,E_AI_TTM,Text mining,Enterprises using AI technologies performing analysis of written language (text mining),AI technology,PC_ENT,Percentage of enterprises,5.31
IE,Ireland,2025,2025,E_AI_TAR,Autonomous robots / vehicles / drones,"Enterprises using AI technologies enabling physical movement of machines via autonomous decisions based on observation of surroundings (autonomous robots, self-driving vehicles, autonomous drones)",AI technology,PC_ENT,Percentage of enterprises,0.82
IE,Ireland,2025,2025,E_AI_TIR,Image recognition / image processing,"Enterprises using AI technologies identifying objects or persons based on images (image recognition, image processing)",AI technology,PC_ENT,Percentage of enterprises,2.72
IE,Ireland,2025,2025,E_AI_TML,Machine learning for data analysis,Enterprises using machine learning (e.g. deep learning) for data analysis,AI technology,PC_ENT,Percentage of enterprises,5.82
IE,Ireland,2025,2025,E_AI_TNLG,Natural language generation / code generation,"Enterprises using AI technologies generating written or spoken language or programming codes (natural language generation, speech synthesis)",AI technology,PC_ENT,Percentage of enterprises,9.04
IE,Ireland,2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,5.99
IE,Ireland,2025,2025,E_AI_TPVSG,Generative pictures / video / sound,"Enterprises using AI technologies generating pictures, videos, sound/audio",AI technology,PC_ENT,Percentage of enterprises,5.65
IE,Ireland,2025,2025,E_AI_TSR,Speech recognition,Enterprises using AI technologies converting spoken language into machine-readable format (speech recognition),AI technology,PC_ENT,Percentage of enterprises,5.81
IE,Ireland,2025,2025,E_AI_TTM,Text mining,Enterprises using AI technologies performing analysis of written language (text mining),AI technology,PC_ENT,Percentage of enterprises,10.52
IT,Italy,2025,2025,E_AI_TAR,Autonomous robots / vehicles / drones,"Enterprises using AI technologies enabling physical movement of machines via autonomous decisions based on observation of surroundings (autonomous robots, self-driving vehicles, autonomous drones)",AI technology,PC_ENT,Percentage of enterprises,0.97
IT,Italy,2025,2025,E_AI_TIR,Image recognition / image processing,"Enterprises using AI technologies identifying objects or persons based on images (image recognition, image processing)",AI technology,PC_ENT,Percentage of enterprises,2.92
IT,Italy,2025,2025,E_AI_TML,Machine learning for data analysis,Enterprises using machine learning (e.g. deep learning) for data analysis,AI technology,PC_ENT,Percentage of enterprises,3.27
IT,Italy,2025,2025,E_AI_TNLG,Natural language generation / code generation,"Enterprises using AI technologies generating written or spoken language or programming codes (natural language generation, speech synthesis)",AI technology,PC_ENT,Percentage of enterprises,6.2
IT,Italy,2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,2.86
IT,Italy,2025,2025,E_AI_TPVSG,Generative pictures / video / sound,"Enterprises using AI technologies generating pictures, videos, sound/audio",AI technology,PC_ENT,Percentage of enterprises,7.04
IT,Italy,2025,2025,E_AI_TSR,Speech recognition,Enterprises using AI technologies converting spoken language into machine-readable format (speech recognition),AI technology,PC_ENT,Percentage of enterprises,6.77
IT,Italy,2025,2025,E_AI_TTM,Text mining,Enterprises using AI technologies performing analysis of written language (text mining),AI technology,PC_ENT,Percentage of enterprises,11.61
LT,Lithuania,2025,2025,E_AI_TAR,Autonomous robots / vehicles / drones,"Enterprises using AI technologies enabling physical movement of machines via autonomous decisions based on observation of surroundings (autonomous robots, self-driving vehicles, autonomous drones)",AI technology,PC_ENT,Percentage of enterprises,2.75
LT,Lithuania,2025,2025,E_AI_TIR,Image recognition / image processing,"Enterprises using AI technologies identifying objects or persons based on images (image recognition, image processing)",AI technology,PC_ENT,Percentage of enterprises,5.59
LT,Lithuania,2025,2025,E_AI_TML,Machine learning for data analysis,Enterprises using machine learning (e.g. deep learning) for data analysis,AI technology,PC_ENT,Percentage of enterprises,4.62
LT,Lithuania,2025,2025,E_AI_TNLG,Natural language generation / code generation,"Enterprises using AI technologies generating written or spoken language or programming codes (natural language generation, speech synthesis)",AI technology,PC_ENT,Percentage of enterprises,6.7
LT,Lithuania,2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,8.69
LT,Lithuania,2025,2025,E_AI_TPVSG,Generative pictures / video / sound,"Enterprises using AI technologies generating pictures, videos, sound/audio",AI technology,PC_ENT,Percentage of enterprises,11.49
LT,Lithuania,2025,2025,E_AI_TSR,Speech recognition,Enterprises using AI technologies converting spoken language into machine-readable format (speech recognition),AI technology,PC_ENT,Percentage of enterprises,4.26
LT,Lithuania,2025,2025,E_AI_TTM,Text mining,Enterprises using AI technologies performing analysis of written language (text mining),AI technology,PC_ENT,Percentage of enterprises,15.96
